"Date","EvapMM","Sunshine","MaxWindSpeed","Temp9am","RelHumid9am","Cloud9am","WindSpeed9am","Pressure9am","Temp3pm","RelHumid3pm","Cloud3pm","WindSpeed3pm","Pressure3pm","ChangeTemp","ChangeTempDir","ChangeTempMag","ChangeWindDirect","MaxWindPeriod","RainToday","TempRange","PressureChange","RISK_MM","RainTomorrow","rpart"
"2008-04-20",4.4,7.1,33,13.5,66,4,11,1028.2,15.6,65,7,30,1024.2,2.1,"up","small","s","earlyPM",0,10.6,"down",0,0,"0"
"2008-11-22",10,6.3,67,8.8,62,4,22,991.5,11.3,49,7,33,990.2,2.5,"up","small","n","earlyPM",1,6,"down",13.8,1,"1"
"2008-02-26",5,11.6,44,17.4,74,3,4,1017.6,27,27,6,17,1014.4,9.6,"up","large","s","earlyPM",0,15.2,"down",0,0,"0"
"2008-01-11",9.4,13.3,57,24.7,56,0,6,1011.8,34.5,24,1,19,1006.5,9.8,"up","large","s","latePM",0,18.3,"down",0,0,"0"
"2008-02-9",4,8.9,33,13.8,65,6,15,1007.7,18.7,51,6,17,1006.8,4.9,"up","small","n","lateAM",0,10.5,"down",0,0,"0"
"2008-04-22",3.8,8,33,12.5,79,7,13,1025.8,17.7,49,6,22,1023.5,5.2,"up","small","s","earlyPM",0,13.3,"down",0,0,"0"
"2007-11-15",8.8,13.1,41,18.7,45,0,6,1018.2,30.4,16,1,20,1013.7,11.7,"up","large","s","earlyPM",0,21.1,"down",0,0,"0"
"2008-08-11",1.4,9.9,39,4.7,72,1,9,1017.4,8.3,60,1,30,1016.6,3.6,"up","small","s","earlyPM",0,9.6,"down",0,0,"0"
"2007-12-14",4.4,12.7,35,15.8,63,1,6,1018.1,25,37,2,11,1012.5,9.2,"up","large","s","latePM",0,18.2,"down",0,0,"0"
"2008-04-18",3.2,8.3,48,14,58,3,17,1027.3,19.1,43,6,11,1024.1,5.1,"up","small","s","earlyPM",0,11.8,"down",0,0,"0"
"2008-04-27",5.8,5.8,59,14.4,68,6,26,1003.2,16.6,51,6,31,997.7,2.2,"up","small","s","earlyPM",0,10.8,"down",7.2,1,"0"
"2008-05-18",1.6,8.8,41,7.9,71,6,13,1008.4,13.3,53,6,26,1008.3,5.4,"up","small","s","earlyPM",0,9.8,"down",0,0,"0"
"2008-06-22",1.4,7.6,33,8.8,74,5,9,1026.4,12.5,44,4,9,1025.7,3.7,"up","small","l","earlyAM",0,9.8,"down",0,0,"0"
"2007-12-17",2.8,10.6,48,15.3,59,1,13,1017.6,20.8,40,4,20,1016.8,5.5,"up","small","s","earlyPM",1,10.9,"down",0,0,"0"
"2008-02-11",5,10.7,31,14.6,74,1,7,1016.1,24.2,34,5,13,1011.7,9.6,"up","large","s","latePM",0,17.1,"down",4.4,1,"0"
"2008-09-19",3.6,10.3,44,16.4,54,1,9,1016.4,22.4,30,1,28,1011.7,6,"up","small","s","lateAM",0,18.2,"down",0,0,"0"
"2008-03-20",5.2,8,46,17.1,76,7,0,1013.8,27.6,35,7,26,1009.4,10.5,"up","large","c","lateAM",0,17.8,"down",0,0,"0"
"2007-12-19",6.4,0.8,22,16.1,72,8,7,1018,20,54,8,6,1015.6,3.9,"up","small","s","earlyPM",0,8.2,"down",3.4,1,"0"
"2008-07-24",1.6,8.4,30,3.7,82,3,7,1032.2,10.8,51,5,13,1027.4,7.1,"up","small","s","earlyPM",0,13.2,"down",0,0,"0"
"2008-01-7",9,12.6,39,20.8,60,1,11,1012.3,31.3,36,1,11,1009.5,10.5,"up","large","l","latePM",0,17.4,"down",0,0,"0"
"2008-08-23",5.4,9.5,54,6.7,49,1,30,1025.9,11.1,38,1,17,1025.5,4.4,"up","small","s","lateAM",0,9.3,"down",0,0,"0"
"2008-07-21",1.8,7.5,54,7.6,78,7,26,1006.9,11.2,56,3,31,1010.3,3.6,"up","small","n","lateAM",1,9.3,"up",0,0,"0"
"2008-10-16",4.2,12.2,28,9.6,73,1,2,1025.7,19.2,30,1,9,1022.3,9.6,"up","large","s","earlyPM",0,16.6,"down",0,0,"0"
"2008-06-8",2,3,30,7.9,76,7,6,1034.3,13,70,7,13,1031.7,5.1,"up","small","s","earlyPM",0,10.2,"down",0,0,"0"
"2008-02-29",5.2,12,48,10.6,58,5,24,1015.5,16.8,34,1,17,1014.5,6.2,"up","small","n","lateAM",1,10.7,"down",0,0,"0"
"2008-09-11",3,9.9,31,6,68,1,4,1018.8,16.3,20,1,20,1013.9,10.3,"up","large","s","lateAM",0,19.1,"down",0,0,"0"
"2008-07-12",1.4,6.5,20,0.8,87,1,2,1027.1,9.9,54,7,7,1022.7,9.1,"up","large","l","earlyAM",0,13.7,"down",0,0,"0"
"2008-01-31",10.2,3.6,39,21.4,66,7,13,1014.6,26.3,49,8,13,1012.8,4.9,"up","small","s","latePM",1,10.2,"down",1,0,"1"
"2008-01-28",9.4,13.2,44,22.4,60,0,4,1013.9,32.1,18,1,24,1012,9.7,"up","large","s","earlyPM",0,17.9,"down",0,0,"0"
"2008-02-20",7.2,8.2,39,17.4,78,2,2,1012.2,28.6,31,7,9,1009.1,11.2,"up","large","l","latePM",0,16.9,"down",1.8,1,"0"
"2008-02-28",7.6,0.8,48,15.7,74,7,13,1010,15.3,78,7,13,1009.9,-0.399999999999999,"down","small","s","latePM",0,2.5,"down",10.4,1,"0"
"2008-12-8",12.8,12.9,50,15.7,62,7,6,1013.2,25,19,1,22,1008.8,9.3,"up","large","s","earlyPM",0,14.5,"down",0,0,"0"
"2008-02-24",10.4,12.4,44,15.1,54,0,15,1007.9,22.9,34,1,30,1007.2,7.8,"up","large","s","lateAM",0,11.8,"down",0,0,"0"
"2007-11-19",7.4,13,39,20.2,60,1,4,1017.1,31.2,25,3,17,1013.3,11,"up","large","l","latePM",0,19.9,"down",0,0,"0"
"2007-12-21",1.8,8.1,41,21,81,2,6,1012.9,28.2,48,7,22,1008.3,7.2,"up","small","n","latePM",1,14.7,"down",11,1,"1"
"2008-07-10",1.8,1.2,65,6,83,7,31,1014.6,6.9,85,7,35,1010.5,0.9,"up","small","n","earlyPM",0,6.9,"down",1.6,1,"1"
"2008-01-24",6.4,9.9,35,17,64,3,6,1021.3,26.3,29,6,11,1018.1,9.3,"up","large","s","earlyPM",0,17.5,"down",0,0,"0"
"2008-08-26",2.8,9,48,4.8,77,5,0,1023.9,15.8,23,7,26,1020.3,11,"up","large","c","earlyPM",0,18.8,"down",0,0,"0"
"2008-02-23",7.8,12.4,46,15.7,57,1,20,1007.4,24.5,32,1,26,1005.4,8.8,"up","large","n","latePM",0,12.4,"down",0,0,"0"
"2007-11-10",5.4,7.7,31,13.3,82,7,7,1024.1,21.7,32,1,6,1020.7,8.4,"up","large","s","latePM",1,14.4,"down",0,0,"0"
"2008-01-20",1.4,8.1,50,19.4,80,7,19,1004.9,21.9,71,8,28,1004,2.5,"up","small","s","earlyPM",1,7.5,"down",0.8,0,"1"
"2008-10-30",5,7.1,46,15.8,69,6,6,1021,25.9,39,7,28,1016.2,10.1,"up","large","s","earlyPM",0,14.4,"down",0,0,"0"
"2008-04-30",1.4,7,28,5.3,80,1,2,1024.2,13.9,40,7,19,1020.5,8.6,"up","large","s","earlyPM",0,16.6,"down",0,0,"0"
"2008-03-23",2.4,6.2,30,15.5,76,7,6,1023.2,24.2,44,6,7,1019.3,8.7,"up","large","l","latePM",0,12.1,"down",0.6,0,"0"
"2008-12-10",10.8,8.8,41,18.3,59,7,15,1007.3,22.3,46,7,20,1007.4,4,"up","small","s","earlyPM",0,8.4,"up",0,0,"0"
"2008-09-16",6.6,11,65,7.1,53,3,26,1017,12.2,33,1,31,1017.6,5.1,"up","small","n","earlyPM",1,9.3,"up",0,0,"0"
"2008-01-12",13.8,6.9,50,23.6,61,7,4,1007.6,34,28,2,17,1003,10.4,"up","large","l","earlyPM",0,14.8,"down",2,1,"1"
"2007-11-21",8.8,9.5,59,22.2,60,1,2,1012.4,32.8,26,5,31,1006.5,10.6,"up","large","s","earlyPM",0,18.1,"down",0.4,0,"0"
"2008-03-18",5.8,10.7,43,16.8,76,0,0,1022.7,29.2,30,1,19,1018.8,12.4,"up","large","c","lateAM",0,17.4,"down",0,0,"0"
"2008-07-17",0.6,4.7,41,1.3,99,7,0,1019.7,11,55,3,24,1013.9,9.7,"up","large","c","latePM",0,13.3,"down",0,0,"1"
"2007-12-9",6.6,11.1,43,20.6,78,7,9,1010.8,28.6,24,7,24,1008.5,8,"up","large","s","lateAM",0,14.4,"down",0,0,"0"
"2008-09-9",3.4,10.9,43,5.5,53,0,9,1025.8,13.4,25,0,22,1020.9,7.9,"up","large","l","earlyAM",0,18.4,"down",0,0,"0"
"2008-12-17",9.6,4.5,50,18.8,55,6,4,1011,16.8,87,7,30,1008.6,-2,"down","large","l","earlyPM",0,14.4,"down",7.8,1,"1"
